,Date,Open,High,Low,Close,EMA10
0,2023-01-02,18218.9492,18292.1504,18165.0,18278.6992,18278.6992
1,2023-01-03,18245.0,18333.4492,18210.0508,18315.0,18285.299345454543
2,2023-01-04,18289.9492,18302.6992,18085.0,18102.9492,18252.144773553715
3,2023-01-05,18145.0,18190.0,17965.0,18070.0508,18219.03677836213
4,2023-01-06,18077.8496,18132.0,17872.3008,17949.0508,18169.948418659926
5,2023-01-09,18046.6992,18228.0,18020.1504,18161.8008,18168.46703344903
6,2023-01-10,18170.1992,18177.9492,17925.5508,17988.4492,18135.736518276477
7,2023-01-11,17995.0,18064.0996,17891.1504,17960.0,18103.78442404439
8,2023-01-12,17995.0,18019.8496,17820.0508,17924.5,18071.18725603632
9,2023-01-13,17913.4492,18087.1992,17835.5508,18022.0,18062.24411857517
10,2023-01-16,18072.0,18097.0,17888.0,17941.5,18040.290642470594
11,2023-01-17,17963.3008,18103.9004,17926.0508,18092.5,18049.783252930487
12,2023-01-18,18101.0,18224.5996,18071.0996,18204.0996,18077.84077057949
13,2023-01-19,18149.8008,18177.0996,18081.0,18105.5996,18082.887830474127
14,2023-01-20,18124.9492,18170.5,18036.0996,18055.9492,18077.98989766065
15,2023-01-23,18110.0,18193.9492,18091.0,18150.8008,18091.228243540532
16,2023-01-24,18194.6992,18218.4492,18156.6992,18171.3496,18105.795762896796
17,2023-01-25,18101.75,18101.8008,17845.3008,17890.8008,18066.70576964283
18,2023-01-27,17978.0508,17978.1504,17577.5996,17694.9492,17999.113666071407
19,2023-01-30,17641.9492,17828.9004,17522.25,17742.8496,17952.52019951297
20,2023-01-31,17782.6504,17833.0508,17638.3008,17795.0,17923.88016323788
21,2023-02-01,17898.9004,18063.5508,17473.0,17665.0,17876.811042649177
22,2023-02-02,17609.0,17739.9492,17524.3496,17667.6992,17838.79070762205
